GB00BV9FRD45, 1.1640, 23/10/18
GB00BV9FRD45, 1.1760, 22/10/18
GB00BV9FRD45, 1.1760, 19/10/18
GB00BV9FRD45, 1.1750, 18/10/18
GB00BYM58175, 1.1280, 15/11/18
GB00BYM58175, 1.1140, 14/11/18
GB00BYM58175, 1.1200, 13/11/18
GB00BYM58175, 1.1240, 12/11/18
GB00BYM58175, 1.1290, 09/11/18
GB00BYM58175, 1.1330, 08/11/18
GB00BYM58175, 1.1250, 05/11/18
GB00BYM58175, 1.1270, 02/11/18
GB00BYM58175, 1.1240, 01/11/18
GB00BYM58175, 1.1250, 31/10/18
GB00BYM58175, 1.1210, 30/10/18
GB00BYM58175, 1.1080, 29/10/18
GB00BYM58175, 1.1110, 26/10/18
GB00BYM58175, 1.1150, 25/10/18
GB00BYM58175, 1.1120, 24/10/18
GB00BYM58175, 1.1220, 23/10/18
GB00BYM58175, 1.1310, 22/10/18
GB00BYM58175, 1.1290, 19/10/18
GB00BYM58175, 1.1290, 18/10/18
EME, 4.15, 16/11/18
EME, 4.14, 15/11/18
EME, 4.04, 14/11/18
EME, 4.05, 13/11/18
EME, 4.08, 12/11/18
EME, 4.09, 09/11/18
EME, 4.16, 07/11/18
EME, 4.16, 06/11/18
EME, 4.16, 05/11/18
EME, 4.20, 02/11/18
EME, 4.08, 01/11/18
EME, 4.06, 31/10/18
EME, 3.97, 30/10/18
EME, 4.01, 29/10/18
EME, 4.01, 26/10/18
EME, 3.99, 25/10/18
EME, 4.06, 24/10/18
EME, 4.04, 23/10/18
EME, 4.11, 22/10/18
EME, 4.06, 19/10/18
EME, 4.08, 18/10/18
PP2, 2.13, 16/11/18
PP2, 2.10, 15/11/18
PP2, 2.11, 14/11/18
PP2, 2.13, 13/11/18
PP2, 2.13, 12/11/18
PP2, 2.14, 09/11/18
PP2, 2.12, 07/11/18
PP2, 2.12, 06/11/18
PP2, 2.13, 05/11/18
PP2, 2.13, 02/11/18
PP2, 2.13, 01/11/18
PP2, 2.11, 31/10/18
PP2, 2.09, 30/10/18
PP2, 2.09, 29/10/18
PP2, 2.10, 26/10/18
PP2, 2.09, 25/10/18
PP2, 2.10, 24/10/18
PP2, 2.13, 23/10/18
PP2, 2.12, 22/10/18
PP2, 2.12, 19/10/18
PP2, 2.13, 18/10/18
PAC, 16.39, 16/11/18
PAC, 16.30, 15/11/18
PAC, 15.94, 14/11/18
PAC, 16.04, 13/11/18
PAC, 16.17, 12/11/18
PAC, 16.10, 09/11/18
PAC, 16.08, 07/11/18
PAC, 16.12, 06/11/18
PAC, 16.13, 05/11/18
PAC, 16.34, 02/11/18
PAC, 15.95, 01/11/18
PAC, 15.92, 31/10/18
PAC, 15.75, 30/10/18
PAC, 15.64, 29/10/18
PAC, 15.67, 26/10/18
PAC, 15.65, 25/10/18
PAC, 15.92, 24/10/18
PAC, 15.90, 23/10/18
PAC, 16.19, 22/10/18
PAC, 16.05, 19/10/18
PAC, 15.97, 18/10/18
